2025-08-02 19:33:02 | INFO | SaveBotLogger | 🔴 [DETECT] Обнаружена платформа: YouTube для URL
2025-08-02 19:33:05 | INFO | SaveBotLogger | ⏬ [DOWNLOAD] Старт загрузки с YouTube
2025-08-02 19:33:05 | INFO | SaveBotLogger |    URL: https://www.youtube.com/watch?v=RlQn_ZWuNa0&list=PLA0M1Bcd0w8zznkO6nZoG8pWfKGK0RqBo&index=8
2025-08-02 19:33:06 | WARNING | SaveBotLogger | [YTDLP] [youtube:tab] [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648). Retrying (1/3)...
2025-08-02 19:33:23 | WARNING | SaveBotLogger | [YTDLP] [youtube] [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648). Retrying (1/3)...
2025-08-02 19:33:24 | WARNING | SaveBotLogger | [YTDLP] [youtube] [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648). Retrying (2/3)...
2025-08-02 19:33:32 | WARNING | SaveBotLogger | [YTDLP] [youtube] [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648). Retrying (1/3)...
2025-08-02 19:33:36 | WARNING | SaveBotLogger | [YTDLP] [youtube] [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648). Retrying (1/3)...
2025-08-02 19:33:47 | WARNING | SaveBotLogger | [YTDLP] [youtube] [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648). Retrying (1/3)...
2025-08-02 19:33:55 | WARNING | SaveBotLogger | [YTDLP] [youtube] [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648). Retrying (1/3)...
2025-08-02 19:33:55 | WARNING | SaveBotLogger | [YTDLP] [youtube] [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648). Retrying (2/3)...
2025-08-02 19:33:59 | WARNING | SaveBotLogger | [YTDLP] [youtube] [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648). Retrying (1/3)...
2025-08-02 19:34:03 | WARNING | SaveBotLogger | [YTDLP] [youtube] [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648). Retrying (1/3)...
2025-08-02 19:34:06 | INFO | SaveBotLogger | ✅ [DOWNLOAD] Видео скачано
2025-08-02 19:34:06 | INFO | SaveBotLogger |    Файл: downloads/0e485471-e7f9-4c65-9fd5-a35a763000c0.mp4
2025-08-02 19:34:06 | INFO | SaveBotLogger | Видео скачано через yt-dlp: downloads/0e485471-e7f9-4c65-9fd5-a35a763000c0.mp4
2025-08-02 19:34:06 | INFO | SaveBotLogger | ✉️ [SEND] Отправка в Telegram
2025-08-02 19:34:06 | INFO | SaveBotLogger |    Чат: 1204967278
2025-08-02 19:34:08 | INFO | SaveBotLogger | ✅ [SEND] Отправка завершена
2025-08-02 19:34:08 | INFO | SaveBotLogger |    ⏳ Планируется удаление через 10 секунд: downloads/0e485471-e7f9-4c65-9fd5-a35a763000c0.mp4
2025-08-02 19:34:18 | INFO | SaveBotLogger | 🗑 [CLEANUP] Видео удалено
2025-08-02 19:34:18 | INFO | SaveBotLogger |    Файл: downloads/0e485471-e7f9-4c65-9fd5-a35a763000c0.mp4
2025-08-02 19:34:24 | INFO | SaveBotLogger | ⏬ [DOWNLOAD] Старт загрузки с YouTube
2025-08-02 19:34:24 | INFO | SaveBotLogger |    URL: https://www.youtube.com/watch?v=RlQn_ZWuNa0&list=PLA0M1Bcd0w8zznkO6nZoG8pWfKGK0RqBo&index=8
2025-08-02 19:34:24 | WARNING | SaveBotLogger | [YTDLP] [youtube:tab] [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648). Retrying (1/3)...
